case_id,question,context_count,citations_count,expected_documents,retrieved_documents,error,answer_relevancy,context_precision,context_recall,faithfulness
gitlab-alliances-mission,Which three Alliance Partner types does the GitLab Alliances Handbook describe?,5,3,content/handbook/alliances/_index.md,content/handbook/alliances/_index.md;content/handbook/alliances/_index.md;content/handbook/alliances/_index.md;content/handbook/alliances/_index.md;content/handbook/alliances/_index.md,,0.981966484661994,0.699999999965,1.0,1.0
gitlab-technology-partner-listing,How does the alliances integration instructions page help technology partners?,5,3,content/handbook/alliances/integration-instructions.md,content/handbook/alliances/integration-instructions.md;content/handbook/alliances/integration-instructions.md;content/handbook/alliances/integration-instructions.md;content/handbook/alliances/integration-instructions.md;content/handbook/alliances/integration-instructions.md,,0.9816614306337903,0.8874999999778125,1.0,0.88
gitlab-board-meetings,Who is the DRI for assembling the deck for a GitLab board meeting?,5,3,content/handbook/board-meetings/_index.md,content/handbook/acquisitions/acquisition-process/integration.md;content/handbook/acquisitions/acquisition-process/_index.md;content/handbook/about/handbook-usage.md;content/handbook/board-meetings/_index.md;content/handbook/about/maintenance.md,,0.7330727893293375,0.0,0.0,0.625
gitlab-business-technology-overview,What is the mission of IT Enterprise Applications according to the Business Technology overview?,5,3,content/handbook/business-technology/_index.md,content/handbook/business-technology/enterprise-applications/entapps-services/_index.md;content/handbook/business-technology/_index.md;content/handbook/business-technology/_index.md;content/handbook/business-technology/enterprise-applications/_index.md;content/handbook/business-technology/enterprise-applications/entapps-services/_index.md,,0.8895171463797724,0.49999999995,1.0,1.0
gitlab-infrastructure-reference-links,What kind of information is collected in the Business Technology infrastructure reference links page?,5,3,content/handbook/business-technology/engineering/infrastructure/reference-links.md,content/handbook/business-technology/engineering/infrastructure/reference-links.md;content/handbook/business-technology/engineering/infrastructure/reference-links.md;content/handbook/business-technology/engineering/infrastructure/reference-links.md;content/handbook/business-technology/engineering/infrastructure/reference-links.md;content/handbook/business-technology/engineering/infrastructure/reference-links.md,,0.9535338466739806,0.36666666664833336,1.0,1.0
gitlab-application-accessibility,Which SaaS applications are listed as WCAG compliant in the application accessibility documentation?,5,3,content/handbook/business-technology/entapps-documentation/application-accessibility.md,content/handbook/business-technology/entapps-documentation/application-accessibility.md;content/handbook/business-technology/entapps-documentation/application-accessibility.md;content/handbook/business-technology/entapps-documentation/application-accessibility.md;content/handbook/business-technology/entapps-documentation/application-accessibility.md;content/handbook/business-technology/entapps-documentation/application-accessibility.md,,0.97605869314232,0.9999999999,1.0,
gitlab-enterprise-app-policies,What does the Enterprise Applications policies page link to?,5,3,content/handbook/business-technology/entapps-documentation/policies/_index.md,content/handbook/business-technology/entapps-documentation/policies/_index.md;content/handbook/business-technology/entapps-documentation/procedures/_index.md;content/handbook/business-technology/entapps-documentation/policies/_index.md;content/handbook/business-technology/entapps-documentation/procedures/_index.md;content/handbook/business-technology/enterprise-applications/guides/navan-expense-guide/_index.md,,0.9638855569867611,0.9999999999,1.0,0.3333333333333333
gitlab-business-continuity-plan,What kind of policy is documented in the GitLab business continuity plan page?,5,3,content/handbook/business-technology/entapps-documentation/policies/gitlab-business-continuity-plan.md,content/handbook/business-technology/entapps-documentation/policies/gitlab-business-continuity-plan.md;content/handbook/business-technology/entapps-documentation/policies/gitlab-business-continuity-plan.md;content/handbook/business-technology/entapps-documentation/policies/gitlab-business-continuity-plan.md;content/handbook/business-technology/entapps-documentation/policies/gitlab-business-continuity-plan.md;content/handbook/business-technology/entapps-documentation/policies/gitlab-business-continuity-plan.md,,0.8967382290206108,0.4166666666458333,1.0,1.0
gitlab-enterprise-app-procedures,What is collected on the Enterprise Applications procedures page?,5,3,content/handbook/business-technology/entapps-documentation/procedures/_index.md,content/handbook/business-technology/entapps-documentation/procedures/_index.md;content/handbook/business-technology/entapps-documentation/procedures/_index.md;content/handbook/business-technology/enterprise-applications/guides/zuora-collect.md;content/handbook/business-technology/enterprise-applications/guides/zuora-collect.md;content/handbook/business-technology/enterprise-applications/guides/zuora-collect.md,,0.9237096673420391,0.9999999999,1.0,1.0
gitlab-enterprise-applications-division,What does the Enterprise Applications division page describe?,5,3,content/handbook/business-technology/enterprise-applications/_index.md,content/handbook/business-technology/enterprise-applications/finance-ops/index.md;content/handbook/business-technology/enterprise-applications/_index.md;content/handbook/business-technology/enterprise-applications/finance-ops/index.md;content/handbook/business-technology/enterprise-applications/finance-ops/index.md;content/handbook/business-technology/enterprise-applications/finance-ops/index.md,,0.9999999999999996,0.3333333333,1.0,1.0
gitlab-entapps-crm-mission,What customer lifecycle stages does the Enterprise Applications CRM mission say it streamlines?,5,3,content/handbook/business-technology/enterprise-applications/entapps-crm/_index.md,content/handbook/business-technology/enterprise-applications/entapps-crm/_index.md;content/handbook/business-technology/enterprise-applications/entapps-crm/_index.md;content/handbook/business-technology/enterprise-applications/entapps-crm/_index.md;content/handbook/business-technology/enterprise-applications/entapps-crm/_index.md;content/handbook/business-technology/enterprise-applications/entapps-crm/_index.md,,0.8111372737019488,0.9999999999,1.0,
gitlab-finsys-access-requests,What does the Finsys access requests page cover?,5,3,content/handbook/business-technology/enterprise-applications/entapps-crm/finsys-access-requests.md,content/handbook/business-technology/enterprise-applications/entapps-crm/finsys-access-requests.md;content/handbook/business-technology/enterprise-applications/entapps-crm/finsys-access-requests.md;content/handbook/business-technology/enterprise-applications/entapps-crm/finsys-access-requests.md;content/handbook/business-technology/enterprise-applications/entapps-crm/finsys-access-requests.md;content/handbook/business-technology/enterprise-applications/entapps-crm/finsys-access-requests.md,,0.9999999999999996,0.99999999998,1.0,0.8888888888888888
gitlab-quote-to-cash-flow,Which business process stages appear in the Lead to Cash Flow on the Quote to Cash page?,5,3,content/handbook/business-technology/enterprise-applications/entapps-crm/quote-to-cash/_index.md,content/handbook/business-technology/enterprise-applications/entapps-crm/quote-to-cash/_index.md;content/handbook/business-technology/enterprise-applications/entapps-crm/quote-to-cash/_index.md;content/handbook/business-technology/enterprise-applications/entapps-crm/quote-to-cash/_index.md;content/handbook/business-technology/enterprise-applications/entapps-crm/quote-to-cash/_index.md;content/handbook/business-technology/enterprise-applications/entapps-crm/quote-to-cash/_index.md,,0.9934104495605278,0.0,0.0,0.5833333333333334
gitlab-quote-to-cash-troubleshooting,What is a true-up according to the quote to cash troubleshooting page?,5,3,content/handbook/business-technology/enterprise-applications/entapps-crm/quote-to-cash/troubleshooting/index.md,content/handbook/business-technology/enterprise-applications/entapps-crm/quote-to-cash/troubleshooting/index.md;content/handbook/business-technology/enterprise-applications/entapps-crm/quote-to-cash/troubleshooting/index.md;content/handbook/business-technology/enterprise-applications/entapps-crm/quote-to-cash/troubleshooting/index.md;content/handbook/business-technology/enterprise-applications/entapps-crm/quote-to-cash/troubleshooting/index.md;content/handbook/business-technology/enterprise-applications/entapps-crm/quote-to-cash/troubleshooting/index.md,,0.6628893886929401,0.9999999999666667,1.0,1.0
gitlab-enterprise-app-services,What mission does Enterprise Application Services state for application support?,5,3,content/handbook/business-technology/enterprise-applications/entapps-services/_index.md,content/handbook/business-technology/enterprise-applications/entapps-services/_index.md;content/handbook/business-technology/enterprise-applications/finance-ops/index.md;content/handbook/business-technology/enterprise-applications/entapps-services/_index.md;content/handbook/business-technology/enterprise-applications/finance-ops/index.md;content/handbook/business-technology/enterprise-applications/_index.md,,0.8934374334067957,0.9999999999,1.0,1.0
